	Start	End	Length	kmerLLR	seqName
0	67	596	529	113.3754044577363	>hgKcnq1ot1
1	28767	28820	53	55.040752069126825	>hgKcnq1ot1
2	44958	45029	71	52.639780197297625	>hgKcnq1ot1
3	31261	31320	59	35.74514575487649	>hgKcnq1ot1
4	4996	5136	140	32.5108394706258	>hgKcnq1ot1
5	67782	67813	31	32.28555651838147	>hgKcnq1ot1
6	39339	39456	117	31.73051103306966	>hgKcnq1ot1
7	89021	89053	32	29.242262992603884	>hgKcnq1ot1
8	25132	25162	30	29.21314610650154	>hgKcnq1ot1
9	21019	21045	26	28.80280203306819	>hgKcnq1ot1
10	11666	11718	52	28.67718872680723	>hgKcnq1ot1
11	5224	5282	58	28.40370297620018	>hgKcnq1ot1
12	22737	22775	38	28.264339170280834	>hgKcnq1ot1
