	Start	End	Length	fwdLLR	kmerLLR	seqName
0	11946	12650	704	811.4911964549351	414.08497913123347	>human_xist
1	13296	13398	102	96.4779629706494	37.629737781363815	>human_xist
2	286	372	86	96.45417307604583	34.927350257538876	>human_xist
3	3250	3322	72	64.248840023382	27.31893355221962	>human_xist
4	9912	9967	55	63.319838617390246	34.898525890966425	>human_xist
5	178	239	61	60.46789677767515	26.346276674158048	>human_xist
6	4651	4703	52	59.59521849173379	32.6093624023724	>human_xist
7	13459	13527	68	59.20391226651918	23.68231991755198	>human_xist
8	4221	4299	78	58.45287427196308	26.89987876013737	>human_xist
9	7154	7206	52	54.65351703712662	22.71528900963341	>human_xist
10	630	660	30	54.4783644094549	25.29363716562085	>human_xist
11	1844	1900	56	54.13435810287501	27.444797225784896	>human_xist
12	1414	1455	41	53.81786532547844	33.71209486083296	>human_xist
13	7444	7495	51	50.50853702431999	20.989161780569475	>human_xist
14	8572	8632	60	50.20270538176584	20.739806084436225	>human_xist
15	14031	14063	32	50.14519824845817	26.592243684380975	>human_xist
16	4474	4529	55	47.48021456640794	21.77049800231481	>human_xist
17	9817	9860	43	47.05113499505751	25.078493824167793	>human_xist
18	6850	6904	54	45.54370398579903	20.48107371643897	>human_xist
19	17397	17431	34	44.92998460346851	21.820807485403122	>human_xist
20	8317	8353	36	44.32966696310493	28.487071786828295	>human_xist
21	10489	10523	34	43.60577299397704	26.955205481258417	>human_xist
22	17525	17551	26	42.23026369407893	24.570885701961046	>human_xist
23	17860	17889	29	41.16803712869091	21.760909540357858	>human_xist
24	14409	14439	30	37.20063254125881	21.471654935767788	>human_xist
25	8827	8846	19	36.96372957646625	23.520089224905277	>human_xist
26	10445	10467	22	36.24535321051586	22.984270700794625	>human_xist
27	0	12	12	11.851077296449873	6.9145913217293185	>human_xist
