	Start	End	Length	kmerLLR	seqName
0	28356	28495	139	76.04190712457432	>Koala_Rsx
1	23682	24078	396	73.74358301800703	>Koala_Rsx
2	28216	28293	77	73.58216074825549	>Koala_Rsx
3	28648	28719	71	68.4923381136984	>Koala_Rsx
4	28057	28088	31	45.17190431591797	>Koala_Rsx
5	24226	24275	49	44.48369453205299	>Koala_Rsx
6	27650	27703	53	43.33888617202723	>Koala_Rsx
7	193	237	44	38.22355825010163	>Koala_Rsx
8	28774	28813	39	35.889271668024435	>Koala_Rsx
9	289	338	49	35.63284304787942	>Koala_Rsx
10	25817	25852	35	29.531107053730864	>Koala_Rsx
