	Start	End	Length	fwdLLR	kmerLLR	seqName
0	268	765	497	539.3627172055612	315.2972399669393	>human_xist
1	12115	12445	330	264.8116717074374	78.31755405304534	>human_xist
2	11951	12075	124	116.2762929049029	40.42899628214559	>human_xist
3	1974	2086	112	67.94862354422446	39.98203099361422	>human_xist
4	9924	9970	46	50.296120821309245	26.26607693983172	>human_xist
5	2228	2284	56	47.20852303265025	23.772946390603067	>human_xist
6	14024	14059	35	45.317580184654844	20.1331870375989	>human_xist
7	9818	9862	44	44.35325355540948	21.773721762486616	>human_xist
8	1408	1456	48	39.331088657471184	21.67135146226235	>human_xist
9	17131	17157	26	31.469333140429768	21.347739894705967	>human_xist
