	Start	End	Length	fwdLLR	kmerLLR	seqName
0	4121	4784	663	530.7527229125271	196.10115333709382	>human_xist
1	8345	8802	457	342.213171011701	84.10257299693785	>human_xist
2	5366	5759	393	276.6047612553507	94.02006863071756	>human_xist
3	8859	9213	354	268.1618481208202	74.0254598245001	>human_xist
4	9833	10183	350	259.07693106204215	54.02933524809623	>human_xist
5	9294	9603	309	225.32881039706717	81.84923163628036	>human_xist
6	4821	5043	222	201.3270440737092	54.444038292159576	>human_xist
7	6926	7143	217	191.1133375759971	89.72730960618242	>human_xist
8	7229	7466	237	188.2510287464347	63.90251291251752	>human_xist
9	6314	6567	253	179.33055756725753	63.11234679862764	>human_xist
10	6639	6873	234	164.39861898152458	71.27007032491792	>human_xist
11	8099	8292	193	159.21490923278998	62.124395116667074	>human_xist
12	7521	7712	191	156.54837339267806	70.62680448053402	>human_xist
13	6063	6284	221	148.68500022136868	67.53339931739083	>human_xist
14	1930	2073	143	147.75579559224093	96.8653889016482	>human_xist
15	7809	8047	238	143.97466308411185	28.770347133524865	>human_xist
16	3831	4024	193	142.04457298616967	51.15678673611046	>human_xist
17	5817	5967	150	115.77448784231751	41.087193657287344	>human_xist
18	3681	3801	120	95.29740871976219	36.01021237855775	>human_xist
19	2998	3108	110	90.77317343665197	49.15369924572644	>human_xist
20	2832	2943	111	76.41095480052081	41.47515813201062	>human_xist
21	1842	1907	65	68.84575520553233	22.012017056088325	>human_xist
22	15916	15969	53	41.931301698066875	20.26903486104419	>human_xist
23	12287	12309	22	31.126346676244367	22.0537561715972	>human_xist
24	11601	11642	41	29.210564911075892	24.655643334193087	>human_xist
25	9738	9768	30	29.158730674449743	22.0468756833244	>human_xist
